Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition,Age_Group,Attrition_Status,Satisfaction_level,Wlb_Label
58,Male,Single,Finance,Manager,5,"? 7,332.00",81,24,12,3,1,3,2,74,No,9,48,16,4,1,1,49,3,No,50-59,0,Medium,Poor
48,Female,Divorced,HR,Assistant,4,"? 6,069.00",55,18,7,5,1,2,2,24,Yes,9,57,10,4,1,1,25,1,No,40-49,0,Low,Poor
34,Female,Married,Marketing,Manager,4,"? 11,485.00",65,6,4,3,4,5,1,63,Yes,3,55,1,1,4,3,21,1,Yes,30-39,1,Very High,Excellent
27,Female,Divorced,HR,Manager,4,"? 18,707.00",28,12,9,1,1,1,2,4,No,9,53,2,3,4,1,46,2,No,20-29,0,Very Low,Poor
40,Male,Married,HR,Analyst,1,"? 16,398.00",92,3,9,1,3,4,3,62,No,1,54,11,1,1,1,43,4,No,40-49,0,High,Good
58,Male,Married,Finance,Executive,3,"? 7,305.00",63,25,2,3,4,5,3,84,No,1,42,11,2,3,4,4,3,Yes,50-59,1,Very High,Excellent
38,Male,Married,Sales,Executive,5,"? 15,697.00",63,3,3,4,4,3,4,98,No,1,58,16,3,3,4,33,1,Yes,30-39,1,Medium,Excellent
42,Female,Married,Marketing,Executive,1,"? 14,506.00",41,16,8,0,2,4,3,75,Yes,3,45,9,2,1,4,3,2,No,40-49,0,High,Average
30,Female,Married,IT,Analyst,4,"? 18,105.00",95,17,10,2,2,3,3,51,Yes,8,42,4,3,3,1,39,4,No,30-39,0,Medium,Average
30,Male,Divorced,Sales,Assistant,4,"? 15,745.00",53,16,14,4,1,4,3,45,Yes,6,41,12,4,2,1,1,4,No,30-39,0,High,Poor
43,Male,Divorced,IT,Manager,3,"? 5,601.00",87,13,3,7,1,4,3,76,Yes,7,58,9,1,4,3,34,4,No,40-49,0,High,Poor
55,Female,Single,Finance,Analyst,4,"? 13,023.00",50,25,4,3,2,1,3,66,Yes,6,43,7,3,1,4,10,2,Yes,50-59,1,Very Low,Average
59,Female,Married,Marketing,Assistant,5,"? 17,216.00",24,13,11,5,3,1,2,75,Yes,1,38,7,1,2,3,47,1,No,50-59,0,Very Low,Good
43,Female,Single,Finance,Analyst,2,"? 19,911.00",18,24,3,3,2,3,4,46,No,5,56,7,4,2,3,7,1,No,40-49,0,Medium,Average
22,Female,Divorced,IT,Analyst,4,"? 4,411.00",99,12,12,4,2,2,2,33,No,7,36,13,4,1,1,22,3,Yes,20-29,1,Low,Average
41,Male,Single,HR,Assistant,3,"? 19,773.00",16,29,13,6,4,4,4,19,Yes,8,49,7,1,4,1,5,3,No,40-49,0,High,Excellent
21,Female,Divorced,Finance,Executive,2,"? 12,417.00",93,2,14,7,2,1,4,38,Yes,5,41,5,1,4,3,16,2,No,20-29,0,Very Low,Average
43,Female,Married,Marketing,Manager,5,"? 6,792.00",42,26,2,9,4,2,4,51,No,8,54,5,4,2,4,41,4,No,40-49,0,Low,Excellent
49,Male,Single,Finance,Executive,5,"? 12,569.00",40,14,1,9,4,3,2,49,No,5,31,8,3,4,3,29,1,No,40-49,0,Medium,Excellent
57,Male,Single,Sales,Analyst,5,"? 3,234.00",87,10,3,7,1,5,2,67,Yes,1,51,2,3,2,3,5,3,No,50-59,0,Very High,Poor
21,Female,Single,Finance,Assistant,3,"? 19,497.00",44,19,9,6,4,1,2,40,No,5,55,19,1,3,2,30,3,No,20-29,0,Very Low,Excellent
40,Male,Single,IT,Analyst,2,"? 18,317.00",23,23,14,3,2,4,3,42,No,1,40,18,1,3,2,34,1,No,40-49,0,High,Average
52,Female,Married,Finance,Executive,5,"? 6,138.00",15,22,8,3,2,1,1,48,No,4,46,7,4,1,4,27,1,Yes,50-59,1,Very Low,Average
31,Female,Divorced,Marketing,Executive,4,"? 8,159.00",70,24,9,1,2,4,4,70,No,8,32,6,2,3,1,10,1,No,30-39,0,High,Average
41,Male,Divorced,Finance,Executive,2,"? 19,794.00",70,26,10,8,2,1,1,46,No,6,52,12,2,4,4,48,4,No,40-49,0,Very Low,Average
44,Male,Married,Finance,Manager,5,"? 8,684.00",90,29,5,5,4,3,4,56,No,2,37,10,2,4,1,10,1,No,40-49,0,Medium,Excellent
46,Female,Divorced,Marketing,Executive,2,"? 12,252.00",75,5,5,2,4,3,2,66,Yes,3,36,14,4,1,2,23,1,No,40-49,0,Medium,Excellent
47,Male,Single,Finance,Manager,4,"? 3,066.00",59,16,14,2,3,3,4,45,Yes,1,45,18,4,2,1,6,3,No,40-49,0,Medium,Good
35,Female,Married,Marketing,Manager,1,"? 9,546.00",27,5,8,0,3,3,1,40,No,6,55,2,4,3,4,27,2,No,30-39,0,Medium,Good
34,Female,Divorced,IT,Executive,5,"? 16,985.00",28,2,14,1,1,3,1,76,No,6,42,9,2,2,3,14,3,No,30-39,0,Medium,Poor
22,Female,Married,Marketing,Assistant,4,"? 11,187.00",24,6,13,4,2,4,4,28,Yes,3,57,12,1,4,2,48,2,Yes,20-29,1,High,Average
56,Male,Married,IT,Analyst,3,"? 15,169.00",31,28,5,8,1,4,4,40,No,1,34,4,1,3,4,23,3,Yes,50-59,1,High,Poor
26,Female,Divorced,IT,Analyst,5,"? 16,363.00",31,12,4,2,4,5,3,84,No,2,55,13,4,2,3,34,2,Yes,20-29,1,Very High,Excellent
40,Female,Divorced,Marketing,Manager,1,"? 13,665.00",45,27,9,6,4,3,3,45,No,1,56,4,1,4,1,17,3,No,40-49,0,Medium,Excellent
28,Female,Married,Finance,Manager,4,"? 7,304.00",60,13,1,5,2,2,1,24,No,3,31,5,1,4,2,34,1,No,20-29,0,Low,Average
58,Male,Married,Sales,Manager,4,"? 5,010.00",63,13,6,2,1,4,3,2,No,3,50,11,4,2,2,31,1,No,50-59,0,High,Poor
37,Female,Divorced,Marketing,Analyst,2,"? 19,000.00",89,27,7,3,4,4,3,29,Yes,1,36,0,3,3,3,22,1,No,30-39,0,High,Excellent
23,Female,Married,Finance,Manager,5,"? 18,537.00",94,21,14,4,4,5,1,85,Yes,8,35,7,4,1,4,5,1,Yes,20-29,1,Very High,Excellent
44,Female,Divorced,IT,Assistant,1,"? 4,888.00",32,25,6,1,4,4,4,1,No,7,46,1,4,2,4,9,3,No,40-49,0,High,Excellent
33,Male,Married,HR,Assistant,3,"? 19,752.00",89,14,12,7,2,1,3,8,No,6,54,7,1,4,2,18,4,No,30-39,0,Very Low,Average
28,Female,Married,Sales,Manager,2,"? 4,762.00",25,19,10,6,3,4,2,57,No,7,51,10,4,3,4,21,2,Yes,20-29,1,High,Good
45,Female,Married,Finance,Analyst,5,"? 19,760.00",87,15,8,8,3,1,2,3,No,2,32,3,1,4,2,45,1,No,40-49,0,Very Low,Good
21,Male,Divorced,Sales,Executive,1,"? 3,002.00",69,21,11,7,4,5,4,71,No,8,32,16,3,1,2,6,2,No,20-29,0,Very High,Excellent
39,Male,Single,HR,Analyst,2,"? 3,763.00",17,3,8,6,2,1,1,18,No,7,45,12,2,1,2,44,1,No,30-39,0,Very Low,Average
47,Female,Divorced,HR,Executive,1,"? 18,754.00",92,9,5,8,1,2,1,84,Yes,1,51,8,2,4,3,29,1,No,40-49,0,Low,Poor
26,Female,Married,HR,Executive,1,"? 5,482.00",30,25,13,9,4,4,2,13,Yes,8,45,8,1,2,3,19,3,Yes,20-29,1,High,Excellent
27,Female,Single,Marketing,Manager,2,"? 13,921.00",23,10,12,4,2,2,3,0,Yes,7,36,3,4,1,2,47,1,No,20-29,0,Low,Average
54,Male,Single,Sales,Assistant,2,"? 16,054.00",82,29,13,2,4,3,1,19,Yes,2,49,14,4,4,1,39,3,No,50-59,0,Medium,Excellent
33,Male,Married,Marketing,Manager,5,"? 5,475.00",59,7,4,5,4,5,3,82,Yes,3,42,7,1,1,1,46,1,No,30-39,0,Very High,Excellent
36,Female,Divorced,HR,Executive,2,"? 9,049.00",16,14,11,8,2,5,3,79,Yes,6,36,6,2,1,1,4,1,No,30-39,0,Very High,Average
55,Male,Single,Finance,Manager,5,"? 12,256.00",36,17,7,5,2,4,4,73,No,6,32,19,3,2,3,44,1,No,50-59,0,High,Average
59,Female,Single,HR,Executive,1,"? 8,997.00",83,25,9,2,4,4,1,65,Yes,4,48,16,1,2,1,39,1,Yes,50-59,1,High,Excellent
23,Female,Divorced,Marketing,Manager,2,"? 10,424.00",63,14,13,1,3,5,2,64,Yes,8,42,19,2,1,4,41,4,No,20-29,0,Very High,Good
21,Male,Divorced,HR,Assistant,5,"? 9,786.00",35,25,2,4,1,4,2,7,No,2,49,16,4,3,1,34,4,Yes,20-29,1,High,Poor
25,Female,Single,HR,Assistant,5,"? 16,413.00",88,10,12,7,3,1,2,8,Yes,3,57,12,4,2,4,44,1,Yes,20-29,1,Very Low,Good
